model,split,accuracy,f1_score,roc_auc,precision,recall,true_negative_rate,false_negative_rate,false_positive_rate
BoW_log_reg,train,0.7842,0.777,0.8595,0.8088,0.7475,0.8213,0.2525,0.1787
BoW_log_reg,validation,0.7853,0.7711,0.8654,0.8312,0.7191,0.8523,0.2809,0.1477
BoW_log_reg,test,0.7135,0.6871,0.7449,0.7671,0.6222,0.8068,0.3778,0.1932
BoW_rf,train,0.8032,0.7919,0.8875,0.8455,0.7447,0.8624,0.2553,0.1376
BoW_rf,validation,0.7458,0.7239,0.8414,0.7973,0.6629,0.8295,0.3371,0.1705
BoW_rf,test,0.6742,0.6375,0.7361,0.7286,0.5667,0.7841,0.4333,0.2159
BoW_svc,train,0.9133,0.9103,0.9751,0.9483,0.8752,0.9518,0.1248,0.0482
BoW_svc,validation,0.7627,0.7375,0.8463,0.831,0.6629,0.8636,0.3371,0.1364
BoW_svc,test,0.6854,0.65,0.7569,0.7429,0.5778,0.7955,0.4222,0.2045
tf_idf_log_reg,train,0.7849,0.7719,0.8566,0.8269,0.7237,0.8468,0.2763,0.1532
tf_idf_log_reg,validation,0.7853,0.7711,0.8431,0.8312,0.7191,0.8523,0.2809,0.1477
tf_idf_log_reg,test,0.691,0.6626,0.7316,0.7397,0.6,0.7841,0.4,0.2159
tf_idf_rf,train,0.8258,0.8169,0.9179,0.8664,0.7728,0.8794,0.2272,0.1206
tf_idf_rf,validation,0.7627,0.7558,0.84,0.7831,0.7303,0.7955,0.2697,0.2045
tf_idf_rf,test,0.7135,0.6982,0.7624,0.7468,0.6556,0.7727,0.3444,0.2273
tf_idf_svc,train,0.9683,0.9683,0.9941,0.9731,0.9635,0.973,0.0365,0.027
tf_idf_svc,validation,0.7345,0.7314,0.7976,0.7442,0.7191,0.75,0.2809,0.25
tf_idf_svc,test,0.6685,0.6509,0.7129,0.6962,0.6111,0.7273,0.3889,0.2727
distilroberta,validation,0.7288,0.7282,0.7903,0.7306,0.7288,0.6818,0.2247,0.3182
distilroberta,train,0.6742,0.674,0.74,0.6748,0.6742,0.6993,0.3506,0.3007
distilroberta,test,0.7135,0.7132,0.7186,0.7151,0.7135,0.75,0.3222,0.25
longformer_prompt,validation,0.7458,0.6939,0.849,0.8793,0.573,0.9205,0.427,0.0795
longformer_prompt,test,0.6966,0.6301,0.7257,0.8214,0.5111,0.8864,0.4889,0.1136
longformer_noprompt,validation,0.774,0.7468,0.8531,0.8551,0.6629,0.8864,0.3371,0.1136
longformer_noprompt,test,0.6966,0.6447,0.716,0.7903,0.5444,0.8523,0.4556,0.1477
